ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA
799;Av. Teresa Cristina esquina com Av. do Contorno;Detector de Trânsito em Local Proibido;60;Bairro-Centro;Único;3042;122420144;POINT (609186.04 7797160.64)
800;Av. Teresa Cristina esquina com Av. do Contorno;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;3043;397905145;POINT (609195.67 7797156.71)
869;Av. do Contorno, esquina Av. dos Andradas;Detector de Avanço de Semáforo;60;Santa Efigênia-Santa Tereza;Único;1061;BRI1061;POINT (612616.16 7796864.72)
802;R. Haiti oposto ao 256;Detector de Trânsito em Local Proibido;40;Belvedere-Sion;Único;3056;122420154;POINT (610924.33 7792767.01)
870;Av. do Contorno, esquina Av. dos Andradas;Detector de Avanço de Semáforo;60;Floresta-Santa Efigênia;Único;1262;BRI1262;POINT (612573.32 7796908.84)
871;Av. do Contorno, 11.050;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Barro Preto-Centro;Único;1212;BRI1212;POINT (610227.88 7797266.38)
872;Av. Dom Pedro I, 1220;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1361;BRI1361;POINT (608492.67 7806546.91)
873;Av. Dom Pedro I, 3000;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1034;BRI1034;POINT (609567.91 7807777.42)
874;Av. Dom Pedro I, oposto ao 3000;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1745;BRI1745;POINT (609547.00 7807804.14)
875;Av. Dom Pedro I, oposto ao 1220;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1392;BRI1392;POINT (608472.34 7806568.40)
810;Av. Teresa Cristina esquina com Av. do Contorno;Detector de Trânsito em Local Proibido;60;Bairro-Centro;Único;3043;397905145;POINT (609188.05 7797154.24)
876;"Av. dos Andradas esq. com Alameda Ezequiel Dias
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;Único;1282;BRI1282;POINT (611830.19 7796768.76)
877;Av. dos Andradas, 1.200;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;Único;1377;BRI1377;POINT (611975.24 7796818.46)
441;Av. Dom Pedro II esquina com R. Antônio Peixoto Guimarães;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1005;;POINT (607372.45 7797855.64)
442;Av. Dom Pedro II esquina com R. Antônio Peixoto Guimarães;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;1005;;POINT (607379.70 7797854.64)
443;Av. dos Andradas esquina com R. dos Caetés;Detector de Avanço de Semáforo;60;Viaduto Santa Tereza-Barro Preto;Único;1286;;POINT (611505.46 7797272.80)
444;Av. dos Andradas esquina com R. dos Caetés;Detector de Avanço de Semáforo;60;Viaduto Santa Tereza-Barro Preto;Único;1292;;POINT (611511.83 7797270.72)
445;Av. dos Andradas esquina com R. dos Caetés;Detector de Parada sobre Faixa de Pedestres;60;Viaduto Santa Tereza-Barro Preto;Único;1286;;POINT (611507.91 7797279.29)
446;Av. dos Andradas esquina com R. dos Caetés;Detector de Parada sobre Faixa de Pedestres;60;Viaduto Santa Tereza-Barro Preto;Único;1292;;POINT (611514.16 7797276.96)
447;Av. dos Andradas esquina com Av. Silviano Brandão;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1267;;POINT (614025.12 7798423.88)
448;Av. dos Andradas esquina com Av. Silviano Brandão;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;1267;;POINT (614025.36 7798418.84)
452;R. do Uruguai esquina com Av. Nossa Senhora do Carmo;Detector de Avanço de Semáforo;40;Sion-São Pedro;Único;1290;;POINT (611450.53 7793957.95)
453;R. do Uruguai esquina com Av. Nossa Senhora do Carmo;Detector de Parada sobre Faixa de Pedestres;40;Sion-São Pedro;Único;1290;;POINT (611448.32 7793960.83)
461;Av. Nossa Senhora do Carmo esquina com R. do Uruguai;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1279;;POINT (611424.34 7793945.37)
462;Av. Nossa Senhora do Carmo esquina com R. do Uruguai;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1290;;POINT (611431.12 7793941.47)
463;Av. Nossa Senhora do Carmo esquina com R. do Uruguai;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;1279;;POINT (611426.56 7793951.85)
464;Av. Nossa Senhora do Carmo esquina com R. do Uruguai;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;1290;;POINT (611434.06 7793947.77)
465;Av. Presidente Antônio Carlos esquina com R. Rio Novo;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1397;;POINT (610617.82 7798420.40)
466;Av. Presidente Antônio Carlos esquina com R. Rio Novo;Conjugado CEV-DIF;60;Centro-Bairro;Único;1399;;POINT (610623.15 7798421.97)
467;Av. Presidente Antônio Carlos esquina com R. Rio Novo;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;1397;;POINT (610616.24 7798430.52)
468;Av. Presidente Antônio Carlos esquina com R. Rio Novo;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;1399;;POINT (610621.54 7798432.29)
469;Av. Presidente Antônio Carlos esquina R. Rio Novo;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1402;;POINT (610580.49 7798438.45)
470;Av. Presidente Antônio Carlos esquina R. Rio Novo;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;1402;;POINT (610582.07 7798431.91)
471;Av. Presidente Antônio Carlos, 3550;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1121;;POINT (609797.93 7801344.01)
472;Av. Presidente Antônio Carlos, 3550;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;1121;;POINT (609795.18 7801350.49)
473;Av. Presidente Antônio Carlos, oposto ao 3550;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1128;;POINT (609763.64 7801348.81)
474;Av. Presidente Antônio Carlos, oposto ao 3550;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;1128;;POINT (609765.19 7801343.53)
475;Av. Marechal Espiridião Rosas esquina com Av. Presidente Antônio Carlos;Detector de Avanço de Semáforo;30;Campus UFMG-Santa Rosa;Único;1403;;POINT (609395.07 7802372.60)
476;Av. Marechal Espiridião Rosas esquina com Av. Presidente Antônio Carlos;Detector de Parada sobre Faixa de Pedestres;30;Campus UFMG-Santa Rosa;Único;1403;;POINT (609403.22 7802373.20)
481;Av. Presidente Antônio Carlos esquina com Av. Coronel José Dias Bicalho;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1119;;POINT (608845.95 7803997.47)
482;Av. Presidente Antônio Carlos esquina com Av. Coronel José Dias Bicalho;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;Único;1119;;POINT (608847.63 7803991.95)
483;Av. Presidente Antônio Carlos esquina com Av. Coronel José Dias Bicalho;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1118;;POINT (608892.18 7803976.02)
484;Av. Presidente Antônio Carlos esquina com Av. Coronel José Dias Bicalho;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;1118;;POINT (608890.05 7803984.38)
485;R. Espírito Santo esquina com R. dos Guaicurus;Detector de Avanço de Semáforo;40;Av. Afonso Pena-Av. do Contorno;Único;1421;;POINT (611336.24 7797512.80)
486;R. Espírito Santo esquina com R. dos Guaicurus;Detector de Parada sobre Faixa de Pedestres;40;Av. Afonso Pena-Av. do Contorno;Único;1421;;POINT (611337.28 7797518.90)
487;R. dos Guaicurus esquina com R. Espírito Santo;Detector de Avanço de Semáforo;40;Praça Rui Barbosa-Viaduto Nansen Araújo;Único;1420;;POINT (611362.55 7797523.80)
488;R. dos Guaicurus esquina com R. Espírito Santo;Detector de Parada sobre Faixa de Pedestres;40;Praça Rui Barbosa-Viaduto Nansen Araújo;Único;1420;;POINT (611356.15 7797526.77)
489;R. Mato Grosso esquina com Av. do Contorno;Detector de Avanço de Semáforo;40;Barro Preto-Viaduto Oeste;Único;1358;;POINT (610258.57 7797260.98)
490;R. Mato Grosso esquina com Av. do Contorno;Detector de Parada sobre Faixa de Pedestres;40;Barro Preto-Viaduto Oeste;Único;1358;;POINT (610258.13 7797268.26)
616;Av. Presidente Juscelino Kubitschek a 8 metros do Viaduto Setenta e Sete;Controlador Eletrônico de Velocidade;80;Contagem-Belo Horizonte;Único;9700;9700;POINT (605295.50 7795770.48)
621;Av. Presidente Juscelino Kubitschek a 9m do Viaduto Setenta e Sete;Controlador Eletrônico de Velocidade;80;Belo Horizonte-Contagem;Único;9699;9699;POINT (605277.34 7795775.59)
622;Av. Cristiano Machado esquina com R. Professor Pimenta da Veiga;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1524;1524;POINT (612099.24 7800754.06)
623;Av. Cristiano Machado esquina com R. Dom Leme;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1535;1535;POINT (612071.28 7800778.26)
624;Av. Cristiano Machado, 11586;Detector de Avanço de Semáforo;70;Centro-Bairro;Único;1265;1265;POINT (610487.19 7807807.77)
625;Av. Cristiano Machado, 11586;Detector de Parada sobre Faixa de Pedestres;70;Centro-Bairro;Único;1265;1265;POINT (610485.57 7807811.23)
626;Av. do Contorno esquina com R. Espírito Santo;Detector de Avanço de Semáforo;60;Barro Preto-Centro;Único;1700;1700;POINT (611346.66 7797625.82)
627;Av. do Contorno esquina com R. Espírito Santo;Detector de Avanço de Semáforo;60;Barro Preto-Centro;Único;1741;1741;POINT (611348.36 7797634.49)
628;Av. Dom Pedro I, 2107;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1506;1506;POINT (608949.56 7807265.36)
629;R. Doutor Américo Gasparini esquina com Av. Dom Pedro I;Detector de Avanço de Semáforo;40;São João Batista-Planalto;Único;1522;1522;POINT (608912.13 7807249.69)
630;Av. Dom Pedro II, 2222;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1312;1312;POINT (608607.77 7798337.50)
631;Av. Teresa Cristina esquina com R. Benjamin Flores;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1376;1376;POINT (606146.49 7793270.44)
641;Av. Cristiano Machado esquina com R. Professor Pimenta da Veiga;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;9692;9692;POINT (612088.83 7800755.88)
642;Av. Cristiano Machado esquina com R. Dom Leme;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;9693;9693;POINT (612083.65 7800776.38)
643;Av. Dom Pedro I, 2177;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;9352;9352;POINT (608953.70 7807255.82)
644;Av. Amazonas, oposto ao 7675;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1545;1545;POINT (604712.16 7795073.67)
645;Av. Amazonas, oposto ao 7675;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;1545;1545;POINT (604704.40 7795072.28)
646;Av. do Contorno esquina com R. Espírito Santo;Detector de Avanço de Semáforo;60;Centro-Barro Preto;Único;1543;1543;POINT (611366.26 7797649.79)
647;Av. do Contorno esquina com R. Espírito Santo;Detector de Avanço de Semáforo;60;Centro-Barro Preto;Único;1544;1544;POINT (611364.84 7797643.79)
648;Av. do Contorno esquina com R. Espírito Santo;Detector de Parada sobre Faixa de Pedestres;60;Centro-Barro Preto;Único;1544;1544;POINT (611371.31 7797642.06)
649;Av. do Contorno esquina com R. Espírito Santo;Detector de Parada sobre Faixa de Pedestres;60;Centro-Barro Preto;Único;1543;1543;POINT (611373.36 7797648.05)
650;R. Espírito Santo esquina com Av. do Contorno;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1683;1683;POINT (611361.37 7797619.32)
651;R. Espírito Santo esquina com Av. do Contorno;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;1683;1683;POINT (611361.00 7797616.13)
652;Av. Dom Pedro I, 2062;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1507;1507;POINT (608910.50 7807203.33)
653;Av. Dom Pedro I, 2062;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;Único;1507;1507;POINT (608914.17 7807205.16)
654;Av. Dom Pedro II, 2275;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1313;1313;POINT (608588.99 7798315.51)
