ID_REDUTOR_VELOCIDADE;NUM_PROJETO_OPERACIONAL;ENDERECO_REFERENCIA;BAIRRO;REFERENCIA_LOCALIZACAO;DATA_IMPLANTACAO;DATA_ULTIMA_MANUTENCAO;GEOMETRIA
5369;;RUA JOSE CLETO, 501;SANTA CRUZ;ENTRE RUA JORGE ANGEL LIVRAGA E RUA MANOEL JOSE DA SILVA;;2014-07-01 00:00:00;LINESTRING (610885.23 7802256.60, 610891.01 7802266.37)
5371;15-VHF-050267T-2017;RUA GENEBRA, 1077;NOVA SUISSA;ENTRE RUA MONTE BRANCO E RUA TEODORO DE ABREU;2018-05-11 00:00:00;;LINESTRING (606781.90 7795629.25, 606775.22 7795627.64)
5372;15-VHF-0030916-2015;RUA SANTOS, 1083;JARDIM AMÉRICA;ENTRE RUA GARRET E RUA FRANCA;2015-10-30 00:00:00;;LINESTRING (607415.09 7794187.01, 607409.40 7794183.87)
5374;18-VHF-0028670-2011;RUA POLONIA, 1113;JARDIM LEBLON;ENTRE RUA SAO SEBASTIAO DO MARANHAO E RUA AGUA DOCE DO MANTENA;2012-04-23 00:00:00;;LINESTRING (605510.90 7807772.40, 605504.74 7807771.83)
5375;22-VHF-0000111-2010;RUA ALADIN CORREA DE FARIA, 400;MIRAMAR;ENTRE RUA DA MANHA E RUA DO CAFE;2011-01-12 00:00:00;;LINESTRING (602876.51 7788651.63, 602885.41 7788652.22)
5376;;RUA FREI ORLANDO, 1127;CAIÇARAS;ENTRE RUA GARDENIA E RUA APA;;2015-07-13 00:00:00;LINESTRING (608095.33 7798817.81, 608096.46 7798825.13)
5377;;AVE CORONEL JOSE BENJAMIM, 1128;PADRE EUSTÁQUIO;ENTRE RUA HENRIQUE GORCEIX E RUA ANCHIETA;;;LINESTRING (606755.86 7797176.38, 606755.53 7797168.42)
5378;22-VHF-0016899-2009;RUA ADERBAL RODRIGUES VAZ, 1137;LINDÉIA;ENTRE AVE DOS JARDINS E RUA MANJERICAO;2011-05-12 00:00:00;;LINESTRING (599844.19 7791014.74, 599850.05 7791019.78)
5379;20-VHF-0031853-2015;RUA MONTE ALEGRE, 1137;NOSSA SENHORA DA APARECIDA;ENTRE RUA ORIENTAL E BEC PIRANGA;2016-03-22 00:00:00;;LINESTRING (613155.89 7795992.35, 613160.89 7795987.82)
5380;26-VHF-0013802-2014;AVE ARTUR GUIMARAES, 1226;SANTA CRUZ;ENTRE RUA CARLOS CAMPOS E PCA CARTUNISTA HENFIL;2015-06-22 00:00:00;;LINESTRING (610461.79 7802090.82, 610464.46 7802096.54)
5383;22-VHF-0000194-2012;RUA PONTA GROSSA, 935;MILIONÁRIOS;ENTRE RUA JOAO ALEXANDRE PIRES E RUA CAETANO PIRRI;2013-03-07 00:00:00;2024-04-18 00:00:00;LINESTRING (604787.49 7790448.47, 604776.49 7790450.80)
5385;;RUA VICENTE RISOLA, 1142;SANTA INÊS;ENTRE RUA MATERLANDIA E RUA MARLIERIA;;2017-12-29 00:00:00;LINESTRING (614139.05 7801225.77, 614129.33 7801224.61)
5386;20-VHF-0044748-2014; , ;;ENTRE BEC NOSSA SENHORA APARECIDA DOIS E BEC SAO JORGE;2017-06-25 08:00:00;;LINESTRING (610888.69 7793283.40, 610893.36 7793280.30)
5387;18-VHF-300412T-2021;RUA MINISTRO OLIVEIRA SALAZAR, 1144;SANTA MÔNICA;ENTRE RUA GARRET E RUA VICENTE DE CARVALHO;2021-05-05 00:00:00;;LINESTRING (607455.02 7808315.77, 607448.39 7808316.09)
5390;;RUA INDIANA, 1185;JARDIM AMÉRICA;ENTRE RUA XAPURI E RUA JABOTICABAL;;2011-09-05 00:00:00;LINESTRING (607646.58 7794124.23, 607645.17 7794123.45, 607640.41 7794120.78)
5391;;RUA TIMOTEO, 1196;SANTA INÊS;ENTRE RUA MATERLANDIA E RUA CONCEICAO DO PARA;;2012-10-16 00:00:00;LINESTRING (613853.73 7801095.12, 613846.89 7801092.83)
5392;22-VHF-059839T-2018;RUA BRAULIO GOMES NOGUEIRA, 1171;TIROL;ENTRE RUA FRANCISCO JONAS SANTANA E RUA VIRGINIA DE MATOS;2018-05-11 00:00:00;;LINESTRING (599706.53 7789360.70, 599713.53 7789358.87)
5393;22-VHF-0032646-2015; , ;;ENTRE   E  ;2021-01-21 00:00:00;2022-07-29 00:00:00;LINESTRING (600828.45 7788318.99, 600836.39 7788319.61)
5395;15-VHF-295564T-2021;RUA JULIO DE CASTILHO, 1009;PARQUE SÃO JOSÉ;ENTRE RUA GUILHERMINO ESTEVAO NASCIMENTO E RUA PINTOR GERALDO GONCALVES;2021-03-11 00:00:00;;LINESTRING (606680.16 7792166.18, 606673.89 7792169.06)
5396;17-VHF-034753T-2017;RUA BOAVENTURA, 1200;LIBERDADE;ENTRE RUA AUGUSTO SILVA E RUA FREI MANOEL DA CRUZ;2017-11-29 00:00:00;;LINESTRING (609280.39 7803544.22, 609274.40 7803540.59)
5397;17-VHF-234184T-2020;AVE ANTONIO FRANCISCO LISBOA, 1203;BANDEIRANTES;ENTRE RUA GREGORIO BARRIOS E RUA MARQUES DE HERVAL;2021-08-05 00:00:00;;LINESTRING (603964.18 7803373.98, 603957.60 7803381.25)
5398;18-VHF-0023950-2012;RUA CORONEL JOAQUIM DOS SANTOS, 1115;CÉU AZUL;ENTRE RUA ERNESTO GAZZOLLI E RUA RADIALISTA CANARINHO;2012-09-06 00:00:00;;LINESTRING (604935.76 7808475.55, 604940.32 7808473.87, 604943.86 7808472.56)
5399;22-VHF-131681T-2019;RUA ADERBAL RODRIGUES VAZ, 109;LINDÉIA;ENTRE AVE DOS JARDINS E RUA MANJERICAO;2019-08-08 00:00:00;2014-07-30 00:00:00;LINESTRING (599814.97 7791048.67, 599820.69 7791053.58)
