ID_SINALIZACAO_SEMAFORICA;COD_SINALIZACAO_SEMAFORICA;NOME;TP_TRAVESSIA_PEDESTRE;BOTOEIRA;BOTOEIRA_SONORA;LACO_DETECTOR_VEICULAR;QTD_TR_C_FOCO;QTD_TR_S_FOCO;GEOMETRIA
105;S4001;ABRAAO CARAN (UFMG);Travessia Incompleta;Sim;Não;Sim;2;1;POINT (608082.10 7803451.46)
106;S4002;ABRAAO CARAN - C;Travessia Incompleta;Não;Não;Não;4;0;POINT (607798.11 7803353.78)
107;S4003;ABRAAO CARAN - CORONEL OSCAR PASCOAL (D);Travessia sem Foco de Pedestre;Não;Não;Não;0;0;POINT (607444.06 7803230.71)
108;S4004;ANTONIO CARLOS (3o.G.I.);Travessia sem Foco de Pedestre;Não;Não;Não;0;0;POINT (609525.53 7802107.91)
109;S4005;ANTONIO CARLOS - ABRAAO CARAN;Travessia Incompleta;Não;Não;Não;2;0;POINT (608948.00 7803749.74)
110;S4007;ANTONIO CARLOS - ALCOBA?A;Travessia Incompleta;Não;Não;Não;4;1;POINT (609383.79 7802505.61)
111;S4008;ANTONIO CARLOS - ANEL RODOVIARIO (PEDESTRE);Somente Pedestre;Não;Não;Não;4;0;POINT (609688.61 7801630.67)
112;S4009;ANTONIO CARLOS - CEZAR GEORGE;Somente Pedestre;Não;Não;Não;4;4;POINT (609979.71 7799786.92)
113;S4010;ANTONIO CARLOS - CORONEL JOSE DIAS BICALHO;Somente Pedestre;Não;Não;Não;4;0;POINT (608871.42 7803980.98)
114;S4011;ANTONIO CARLOS - DOS OPERARIOS (PEDESTRE);Somente Pedestre;Não;Não;Não;4;0;POINT (609912.68 7800070.88)
115;S4012;ANTONIO CARLOS - DR. ANTONIO MOURAO GUIMARAES;Somente Pedestre;Não;Não;Não;4;0;POINT (609924.79 7799956.81)
116;S4013;ANTONIO CARLOS - ESPERIDIAO ROSAS;Travessia Incompleta;Não;Não;Não;4;2;POINT (609425.98 7802385.03)
117;S4014;ANTONIO CARLOS - ESTORIL;Somente Pedestre;Não;Não;Não;4;1;POINT (609466.44 7802270.99)
118;S4015;ANTONIO CARLOS - FLOR DE JUPITER;Somente Pedestre;Não;Não;Não;4;0;POINT (609292.32 7802767.18)
119;S4016;ANTONIO CARLOS - FLOR DO INDIO (PEDESTRE);Somente Pedestre;Não;Não;Não;4;0;POINT (609215.19 7802988.47)
120;S4017;ANTONIO CARLOS - HOSPITAL BELO HORIZONTE (PEDESTRE);Somente Pedestre;Não;Não;Não;5;0;POINT (610081.11 7799560.34)
121;S4018;ANTONIO CARLOS - MAJOR DELFINO DE PAULA;Travessia Incompleta;Não;Não;Não;8;1;POINT (609551.80 7802028.71)
122;S4019;ANTONIO CARLOS - PAMPULHA MALL;Somente Pedestre;Sim;Não;Não;4;0;POINT (608376.35 7804792.86)
123;S4021;ANTONIO CARLOS - REGIONAL PAMPULHA (PEDESTRE);Travessia Total;Não;Não;Não;4;0;POINT (608810.31 7804154.42)
124;S4022;ANTONIO CARLOS - REITOR MENDES PIMENTEL (UFMG);Travessia Incompleta;Não;Não;Não;6;0;POINT (609091.78 7803347.62)
125;S4023;ANTONIO CARLOS - SANTA ROSA;Travessia Total;Não;Não;Não;8;0;POINT (608667.03 7804511.91)
126;S4024;BRASILEIA - MONTEIRO LOBATO;Travessia Incompleta;Não;Não;Não;2;0;POINT (606449.01 7802474.38)
128;S4026;CARLOS LUZ - CONCEI?AO DO MATO DENTRO;Travessia Parcial;Não;Não;Não;2;0;POINT (607108.64 7802138.71)
